id	source_law	required_behavior	enforcement_status	gate_or_fixture_path	owner_lane	claim_ids_affected	current_status	blocker_or_repair_action	required_execplan_refs
batch-fanout-custom-agent-job-worker-result-discipline	mandatory law: Batch Fanout Custom Agent Job Worker Result Discipline	Batch Fanout Custom Agent Job Worker Result Discipline must be enforced through typed receipts, validator checks, red fixtures, valid fixtures, and claim-ceiling guards.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; batch_agent_claims_withheld_without_job_schema_and_reconciled_worker_results.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
behavior-example-coverage-coverage-anti-gaming	mandatory law: Behavior Example Coverage Coverage Anti Gaming	Behavior Example Coverage Coverage Anti Gaming must be enforced through typed receipts, validator checks, red fixtures, valid fixtures, and claim-ceiling guards.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; coverage_claims_withheld_without_behavior_examples_and_anti_gaming_receipt.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
capability-gap-extraction-harness-capability-promotion	mandatory law: Capability Gap Extraction Harness Capability Promotion	Capability Gap Extraction Harness Capability Promotion must be enforced through typed receipts, validator checks, red fixtures, valid fixtures, and claim-ceiling guards.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; readiness_claims_withheld_without_capability_gap_promotion.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
clean-checkout-command-discovery	source obligation: Clean Checkout Command Discovery	Clean Checkout Command Discovery must be enforced as a same-law source-obligation surface with mandatory-law receipt, standards row, trace entry, validator check enum, red fixture, valid fixture or receipt, and claim-ceiling guard.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; install_setup_runtime_check_claims_withheld_without_clean_checkout_receipt.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
clean-room-rebuild-author-memory-independence	mandatory law: Clean Room Rebuild Author Memory Independence	Clean Room Rebuild Author Memory Independence must be enforced through typed receipts, validator checks, red fixtures, valid fixtures, and claim-ceiling guards.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; reproducibility_claims_withheld_without_clean_room_rebuild_receipt.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
cli-control-plane-authority	Gate 89 mandatory law: CLI Control Plane Authority	Harness Ultragoal claims must be computed, minted, or verified by the installed CLI control plane from typed current inputs; prose, checklist, reviewer agreement, source-only proof, install proof, cache proof, packet existence, or claim-ceiling text cannot satisfy completion, package, review, readiness, release, app, registry, reviewer, or update_goal claims.	mechanized	validator/src/cli/control/plane/proof/transaction.rs	root	completion, review, package, readiness, release, app-registry, reviewer-exposure, update_goal	active	Run CLI authority validation, transactional finalization validation, and mandatory-law red fixtures; harness_claims_withheld_without_cli_control_plane_authority.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
cli-performance-latency-speed-iteration-fitness	Gate 89.22 mandatory law: CLI Performance, Latency, Speed, And Iteration Fitness	Every evidence-affecting Ultragoal CLI command must have typed budget classes, current performance receipts, cache/no-cache honesty, bounded concurrency/isolation proof, live-probe timeout and retry/backoff policy, regression baselines, and claim blocking for missing, stale, over-budget, hidden-cache, focused-substituted, or unbounded proof paths.	mechanized	validator/src/audit/cli/performance.rs	root	completion, routine usability, product readiness, package, readiness, release, update_goal	active	Run CLI performance validation and mandatory-law red fixtures; performance_claims_withheld_without_typed_budget_receipts_cache_honesty_and_regression_proof.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
cli-self-law-compliance	Gate 89 mandatory law: CLI Self Law Compliance	The CLI, validator source, schemas, receipts, fixtures, reports, package inventory, generated hooks, command wrappers, init or retrofit outputs, configuration, product surfaces, and documentation must obey every law the CLI enforces; bootstrap, transition-only, source-only, target-only, stale, copied, or non-current proof cannot support completion, package, review, release, registry, app, reviewer, product, or update_goal claims.	mechanized	validator/src/cli/control/plane/proof/transaction.rs	root	completion, review, package, readiness, release, app-registry, reviewer-exposure, update_goal	active	Run CLI authority validation, transactional finalization validation, and mandatory-law red fixtures; completion_claims_withheld_without_same_candidate_cli_self_law_receipt.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
compact-agents-routed-standards	source obligation: Compact Agents Routed Standards	Compact Agents Routed Standards must be enforced as a same-law source-obligation surface with mandatory-law receipt, standards row, trace entry, validator check enum, red fixture, valid fixture or receipt, and claim-ceiling guard.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; package_static_only.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
conditional-observability-proof	source obligation: Conditional Observability Proof	Conditional Observability Proof must be enforced as a same-law source-obligation surface with mandatory-law receipt, standards row, trace entry, validator check enum, red fixture, valid fixture or receipt, and claim-ceiling guard.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; no_default_observability_install_claim.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
config-precedence-defaults-env-indirection	mandatory law: Config Precedence Defaults Env Indirection	Config Precedence Defaults Env Indirection must be enforced through typed receipts, validator checks, red fixtures, valid fixtures, and claim-ceiling guards.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; config_claims_withheld_without_typed_precedence_and_redacted_env_receipt.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
connector-capability-discovery	mandatory law: Connector Capability Discovery	Connector Capability Discovery must be enforced through typed receipts, validator checks, red fixtures, valid fixtures, and claim-ceiling guards.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; capability_claims_withheld_without_same_surface_discovery_receipt.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
coverage-proof-accountability	agent standards: coverage and test law	Coverage claims require coverage receipts; test pass counts, smoke tests, fixtures, mocks, and reviewer signoff do not prove coverage. Lower-than-100 floors are ratchet debt with owner, reason, artifact, blocker, and claim ceiling.	mechanized	scripts/check	root	completion, coverage, release, production-readiness	active	Run scripts/check and coverage-proof-policy before material completion claims; withhold claims when coverage is missing or below the declared policy.	mandatory-coverage-authority-and-enforcement.md;mandatory-coverage-scope-authority-and-anti-theater.md
coverage-scope-authority	coverage scope authority law	Coverage scope is owned by .harness/coverage-manifest.json, repo walk validation, changed-file coupling, receipt freshness, policy mutation checks, and fast/full coverage gate separation. Agents cannot narrow scope, copy proof, or use fast checks for completion claims.	mechanized	scripts/check-coverage-full	root	completion, readiness, release, material-signoff, coverage	active	Run coverage scope validators and full coverage gate before material claims; withhold claims when manifest, freshness, changed-file, or fast/full authority checks fail.	mandatory-coverage-authority-and-enforcement.md;mandatory-coverage-scope-authority-and-anti-theater.md
cross-artifact-consistency-solver-authority-graph-closure	mandatory law: Cross Artifact Consistency Solver Authority Graph Closure	Cross Artifact Consistency Solver Authority Graph Closure must be enforced through typed receipts, validator checks, red fixtures, valid fixtures, and claim-ceiling guards.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; completion_claims_withheld_without_authority_graph_closure.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
current-product-discovery-audit-quality-in-use-evidence	mandatory law: Current Product Discovery Audit Quality In Use Evidence	Current Product Discovery Audit Quality In Use Evidence must be enforced through typed receipts, validator checks, red fixtures, valid fixtures, and claim-ceiling guards.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; product_facing_claims_withheld_without_current_discovery_and_quality_in_use_evidence.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
derived-authority-recomputation	source obligation: Derived Authority Recomputation	Derived Authority Recomputation must be enforced as a same-law source-obligation surface with mandatory-law receipt, standards row, trace entry, validator check enum, red fixture, valid fixture or receipt, and claim-ceiling guard.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; content_digest_path_privacy_only_not_enough_for_behavior_authority.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
derived-authority-recomputation-named-authority-fallback-refusal	mandatory law: Derived Authority Recomputation Named Authority Fallback Refusal	Derived Authority Recomputation Named Authority Fallback Refusal must be enforced through typed receipts, validator checks, red fixtures, valid fixtures, and claim-ceiling guards.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; named_authority_claims_withheld_without_current_recomputation_and_fallback_refusal.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
distinct-proof-surfaces-claim-ceilings	source obligation: Distinct Proof Surfaces Claim Ceilings	Distinct Proof Surfaces Claim Ceilings must be enforced as a same-law source-obligation surface with mandatory-law receipt, standards row, trace entry, validator check enum, red fixture, valid fixture or receipt, and claim-ceiling guard.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; withholds_surface_substitution.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
distribution-sharing-surface-claim-separation	mandatory law: Distribution Sharing Surface Claim Separation	Distribution Sharing Surface Claim Separation must be enforced through typed receipts, validator checks, red fixtures, valid fixtures, and claim-ceiling guards.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; distribution_sharing_claims_withheld_without_same_surface_app_workspace_public_proof.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
documentation-freshness	agent standards: namespace and progressive disclosure	Work that changes architecture, commands, standards, runtime behavior, product behavior, proof surfaces, lane state, or operational procedure updates affected repo-owned docs before completion claims, or records the owed stale documentation update.	mechanized	scripts/check-agent-standards	root	completion, documentation, orchestration	active	Completion claims require docs-current evidence for changed proof, runtime, product, standards, lane, or command surfaces; stale docs keep related claims withheld.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
execplan-no-handback-prototype-promotion-discard	mandatory law: Execplan No Handback Prototype Promotion Discard	Execplan No Handback Prototype Promotion Discard must be enforced through typed receipts, validator checks, red fixtures, valid fixtures, and claim-ceiling guards.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; execplan_claims_withheld_without_no_handback_and_prototype_gates.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
execplan-plain-language-expected-output-interface-completeness	mandatory law: Execplan Plain Language Expected Output Interface Completeness	Execplan Plain Language Expected Output Interface Completeness must be enforced through typed receipts, validator checks, red fixtures, valid fixtures, and claim-ceiling guards.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; execplan_claims_withheld_without_plain_language_interface_receipt.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
failure-remediation-quality-agent-actionable-output	mandatory law: Failure Remediation Quality Agent Actionable Output	Failure Remediation Quality Agent Actionable Output must be enforced through typed receipts, validator checks, red fixtures, valid fixtures, and claim-ceiling guards.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; repair_claims_withheld_without_agent_actionable_failure_output.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
feedback-to-rule-promotion	mandatory law: Feedback To Rule Promotion	Feedback To Rule Promotion must be enforced through typed receipts, validator checks, red fixtures, valid fixtures, and claim-ceiling guards.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; material_repeated_findings_withheld_without_promotion_receipt.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
forward-only-state-transition-integrity-silent-reopen-prevention	mandatory law: Forward Only State Transition Integrity Silent Reopen Prevention	Forward Only State Transition Integrity Silent Reopen Prevention must be enforced through typed receipts, validator checks, red fixtures, valid fixtures, and claim-ceiling guards.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; claim_green_states_withheld_without_forward_only_transition_history.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
fresh-init-retrofit-mode-separation	mandatory law: Fresh Init Retrofit Mode Separation	Fresh Init Retrofit Mode Separation must be enforced through typed receipts, validator checks, red fixtures, valid fixtures, and claim-ceiling guards.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; setup_claims_withheld_without_same_mode_receipt.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
fresh-retrofit-repo-shape	source obligation: Fresh Retrofit Repo Shape	Fresh Retrofit Repo Shape must be enforced as a same-law source-obligation surface with mandatory-law receipt, standards row, trace entry, validator check enum, red fixture, valid fixture or receipt, and claim-ceiling guard.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; target_fixture_only.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
full-local-observability-stack-integration-non-opaque-failure	mandatory law: Full Local Observability Stack Integration And Non-Opaque Failure	Every law-bearing CLI/check/proof path must emit typed logs, metrics, traces, diagnostics, query hints, redaction/bounds proof, and current observability receipt binding, operating-loop fitting, and signal-class fitting.	mechanized	validator/src/audit/observability/mod.rs	root	final packet, review, package, readiness, release, completion, update_goal	active	Run observe stack up, health, smoke, prove, query logs/metrics/traces, then source audit; observability claims are withheld without live same-candidate receipt binding, operating-loop fitting, and signal-class fitting.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
generated-proof-artifact-provenance-anti-fabrication	mandatory law: Generated Proof Artifact Provenance Anti Fabrication	Generated Proof Artifact Provenance Anti Fabrication must be enforced through typed receipts, validator checks, red fixtures, valid fixtures, and claim-ceiling guards.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; generated_proof_claims_withheld_without_reproducible_provenance.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
generated-ready-completion-receipts	source obligation: Generated Ready Completion Receipts	Generated Ready Completion Receipts must be enforced as a same-law source-obligation surface with mandatory-law receipt, standards row, trace entry, validator check enum, red fixture, valid fixture or receipt, and claim-ceiling guard.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; handwritten_ready_unsupported.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
goal-contract-amendment-authority-required-claim-id-mapping	mandatory law: Goal Contract Amendment Authority Required Claim Id Mapping	Goal Contract Amendment Authority Required Claim Id Mapping must be enforced through typed receipts, validator checks, red fixtures, valid fixtures, and claim-ceiling guards.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; completion_claims_withheld_without_append_only_contract_amendment_and_closed_claim_ids.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
green-path-adequacy-satisfiable-strictness	mandatory law: Green Path Adequacy Satisfiable Strictness	Green Path Adequacy Satisfiable Strictness must be enforced through typed receipts, validator checks, red fixtures, valid fixtures, and claim-ceiling guards.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; compliance_claims_withheld_when_any_law_lacks_green_path.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
guardrail-speed-isolation-cache-honesty	mandatory law: Guardrail Speed Isolation Cache Honesty	Guardrail Speed Isolation Cache Honesty must be enforced through typed receipts, validator checks, red fixtures, valid fixtures, and claim-ceiling guards.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; guardrail_claims_withheld_without_speed_isolation_cache_receipt.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
historical-regression-corpus-session-review-signals	mandatory law: Historical Regression Corpus Session Review Signals	Historical Regression Corpus Session Review Signals must be enforced through typed receipts, validator checks, red fixtures, valid fixtures, and claim-ceiling guards.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; completion_claims_withheld_without_historical_regression_corpus.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
human-audit-disposition-decomposition-judgment-claim-blocking	mandatory law: Human Audit Disposition Decomposition Judgment Claim Blocking	Human Audit Disposition Decomposition Judgment Claim Blocking must be enforced through typed receipts, validator checks, red fixtures, valid fixtures, and claim-ceiling guards.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; mandatory_law_claims_withheld_without_deterministic_split_and_judgment_only_blocker.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
instruction-precedence-nested-agents-routing	mandatory law: Instruction Precedence Nested Agents Routing	Instruction Precedence Nested Agents Routing must be enforced through typed receipts, validator checks, red fixtures, valid fixtures, and claim-ceiling guards.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; instruction_claims_withheld_without_strict_precedence_route.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
issue-tracker-lifecycle-eligibility-terminal-state	mandatory law: Issue Tracker Lifecycle Eligibility Terminal State	Issue Tracker Lifecycle Eligibility Terminal State must be enforced through typed receipts, validator checks, red fixtures, valid fixtures, and claim-ceiling guards.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; issue_goal_claims_withheld_without_typed_lifecycle_evidence.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
lane-worktree-isolation-cleanup	source obligation: Lane Worktree Isolation Cleanup	Lane Worktree Isolation Cleanup must be enforced as a same-law source-obligation surface with mandatory-law receipt, standards row, trace entry, validator check enum, red fixture, valid fixture or receipt, and claim-ceiling guard.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; fixture_only.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
live-beneficial-e2e	source obligation: Live Beneficial E2e	Live Beneficial E2e must be enforced as a same-law source-obligation surface with mandatory-law receipt, standards row, trace entry, validator check enum, red fixture, valid fixture or receipt, and claim-ceiling guard.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; static_fixtures_not_live_benefit.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
memory-wiki-context-only	source obligation: Memory Wiki Context Only	Memory Wiki Context Only must be enforced as a same-law source-obligation surface with mandatory-law receipt, standards row, trace entry, validator check enum, red fixture, valid fixture or receipt, and claim-ceiling guard.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; implementation_proof_claims_withheld_when_memory_wiki_chronicle_or_session_summaries_are_not_joined_to_live_same_surface_evidence.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
namespace-progressive-disclosure	agent standards: namespace and progressive disclosure	Package-owned paths are an agent-facing interface. Junk drawers, vague common domain directories, repeated filename prefixes without a routed subdirectory or typed exception, root clutter without routing, orphan repo files, and prose-only namespace laws block completion, review, package, readiness, and release claims.	mechanized	validator/src/audit/namespace/law/mod.rs	root	completion, review, package, readiness, release	active	Run namespace-progressive-disclosure validator; add routed paths or typed namespace exceptions with external contract or generator proof before material claims.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
non-e2e-claim-ceiling-confidence-bounds	mandatory law: Non E2e Claim Ceiling Confidence Bounds	Non E2e Claim Ceiling Confidence Bounds must be enforced through typed receipts, validator checks, red fixtures, valid fixtures, and claim-ceiling guards.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; product_live_claims_withheld_above_non_e2e_ceiling.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
offline-schema-catalog-resolver-portability	mandatory law: Offline Schema Catalog Resolver Portability	Offline Schema Catalog Resolver Portability must be enforced through typed receipts, validator checks, red fixtures, valid fixtures, and claim-ceiling guards.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; schema_validation_claims_withheld_without_offline_catalog_resolution.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
one-command-fresh-environment-bootstrap-concurrent-resource-allocation	mandatory law: One Command Fresh Environment Bootstrap Concurrent Resource Allocation	One Command Fresh Environment Bootstrap Concurrent Resource Allocation must be enforced through typed receipts, validator checks, red fixtures, valid fixtures, and claim-ceiling guards.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; bootstrap_claims_withheld_without_one_command_concurrent_safe_receipt.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
openai-api-key-model-cost-external-ai-boundary	mandatory law: OpenAI API Key Model Cost External AI Boundary	OpenAI API Key Model Cost External AI Boundary must be enforced through redacted env indirection, typed provider modes, token/cost/rate-limit receipt requirements, model-output authority boundaries, red fixtures, valid fixtures, and claim guards.	mechanized	validator/src/audit/openai/mod.rs	root	completion, review, package, readiness, release, update_goal, model_output_authority, live_model_claim	active	Run OpenAI config proof; live model/eval/feedback claims remain blocked without same-candidate call receipts and redaction proof.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
orchestrator-state-machine	mandatory law: Orchestrator State Machine	Orchestrator State Machine must be enforced through typed receipts, validator checks, red fixtures, valid fixtures, and claim-ceiling guards.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; orchestration_claims_withheld_without_state_machine_receipt.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
plugin-bundled-component-graph-hook-app-mcp-safety	mandatory law: Plugin Bundled Component Graph Hook App Mcp Safety	Plugin Bundled Component Graph Hook App Mcp Safety must be enforced through typed receipts, validator checks, red fixtures, valid fixtures, and claim-ceiling guards.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; installable_package_claims_withheld_without_closed_component_graph.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
plugin-flow-graph-package-dependency-closure-plugin-product-journey	mandatory law: Plugin Flow Graph Package Dependency Closure Plugin Product Journey	Plugin Flow Graph Package Dependency Closure Plugin Product Journey must be enforced through typed receipts, validator checks, red fixtures, valid fixtures, and claim-ceiling guards.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; plugin_product_claims_withheld_without_closed_flow_graph_and_journey_receipt.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
